X,locality,emergence,host,host.gen,lat,lon,millet.spec,sorghum.spec,ENM_a_m50km,ENM_a_s50km
218,WadMedani,0.123558484,millet,D2-Comp,14.383395,33.538424,0,1,0.238936585,-0.111879973
219,WadMedani,0.161449753,millet,CIVT-II,14.383395,33.538424,0,1,0.238936585,-0.111879973
220,WadMedani,0.420098847,maize,D-771,14.383395,33.538424,0,1,0.238936585,-0.111879973
221,WadMedani,0.477759473,maize,Diara,14.383395,33.538424,0,1,0.238936585,-0.111879973
222,WadMedani,0.472817133,maize,Syn-B23,14.383395,33.538424,0,1,0.238936585,-0.111879973
223,WadMedani,0.377265239,maize,L-4,14.383395,33.538424,0,1,0.238936585,-0.111879973
224,Kazgail,1,sorghum,NA,12.08333333,30.16666667,NA,,0.174062806,-0.12150509
225,Kazgail,0.5,millet,NA,12.08333333,30.16666667,NA,,0.174062806,-0.12150509
226,Obeid,1,sorghum,NA,13.16666667,30.23333333,NA,,0.014497539,-0.0723391
227,Obeid,0.25,millet,NA,13.16666667,30.23333333,NA,,0.014497539,-0.0723391
228,Tamale,0.111111111,sorghum,IS-2652,9.40079,-0.8393,NA,NA,0.20807094,0.054492225
229,Tamale,0.333333333,sorghum,IS-3469,9.40079,-0.8393,NA,NA,0.20807094,0.054492225
230,Tamale,0.136752137,sorghum,IS-9289,9.40079,-0.8393,NA,NA,0.20807094,0.054492225
231,Tamale,1,sorghum,DFF-2123,9.40079,-0.8393,NA,NA,0.20807094,0.054492225
232,Tamale,0,millet,Ex-Tukur,9.40079,-0.8393,NA,NA,0.20807094,0.054492225
233,Tamale,0.068376068,millet,Ex-Mokwa,9.40079,-0.8393,NA,NA,0.20807094,0.054492225
234,Tamale,0.05982906,maize,NigCompB,9.40079,-0.8393,NA,NA,0.20807094,0.054492225
235,Tamale,0.299145299,maize,BiuYellowXC-10,9.40079,-0.8393,NA,NA,0.20807094,0.054492225
236,Yendi,0.408695652,sorghum,IS-2652,9.44272,-0.00991,NA,NA,0.148169301,0.052914572
237,Yendi,0.533333333,sorghum,IS-3469,9.44272,-0.00991,NA,NA,0.148169301,0.052914572
238,Yendi,0.144927536,sorghum,IS-9289,9.44272,-0.00991,NA,NA,0.148169301,0.052914572
239,Yendi,1,sorghum,DFF-2123,9.44272,-0.00991,NA,NA,0.148169301,0.052914572
240,Yendi,0.005797101,millet,Ex-Tukur,9.44272,-0.00991,NA,NA,0.148169301,0.052914572
241,Yendi,0.005797101,millet,Ex-Mokwa,9.44272,-0.00991,NA,NA,0.148169301,0.052914572
242,Yendi,0.142028986,maize,NigCompB,9.44272,-0.00991,NA,NA,0.148169301,0.052914572
243,Yendi,0.231884058,maize,BiuYellowXC-10,9.44272,-0.00991,NA,NA,0.148169301,0.052914572
244,Samaru,0.083333333,sorghum,IS-2652,9.75,8.38333,NA,NA,0.263453963,-0.125745192
245,Samaru,0.05952381,sorghum,IS-3469,9.75,8.38333,NA,NA,0.263453963,-0.125745192
246,Samaru,0.125,sorghum,IS-9289,9.75,8.38333,NA,NA,0.263453963,-0.125745192
247,Samaru,1,sorghum,DFF-2123,9.75,8.38333,NA,NA,0.263453963,-0.125745192
248,Samaru,0,millet,Ex-Tukur,9.75,8.38333,NA,NA,0.263453963,-0.125745192
249,Samaru,0,millet,Ex-Mokwa,9.75,8.38333,NA,NA,0.263453963,-0.125745192
250,Samaru,0,maize,NigCompB,9.75,8.38333,NA,NA,0.263453963,-0.125745192
251,Samaru,0,maize,BiuYellowXC-10,9.75,8.38333,NA,NA,0.263453963,-0.125745192
252,SinthionMaleme,1,sorghum,IS-2652,13.8167,-13.916667,NA,NA,-0.02076127,0.033003811
253,SinthionMaleme,0.037037037,sorghum,IS-3469,13.8167,-13.916667,NA,NA,-0.02076127,0.033003811
254,SinthionMaleme,0.611111111,sorghum,IS-9289,13.8167,-13.916667,NA,NA,-0.02076127,0.033003811
255,SinthionMaleme,0.5,sorghum,DFF-2123,13.8167,-13.916667,NA,NA,-0.02076127,0.033003811
256,SinthionMaleme,0.666666667,millet,Ex-Tukur,13.8167,-13.916667,NA,NA,-0.02076127,0.033003811
257,SinthionMaleme,0.185185185,millet,Ex-Mokwa,13.8167,-13.916667,NA,NA,-0.02076127,0.033003811
258,SinthionMaleme,0.222222222,maize,NigCompB,13.8167,-13.916667,NA,NA,-0.02076127,0.033003811
259,SinthionMaleme,0.12962963,maize,BiuYellowXC-10,13.8167,-13.916667,NA,NA,-0.02076127,0.033003811
